dataset,image_id,identity_id,seed,method,epsilon,steps,step_ratio,cosine_similarity,jpeg_cosine,blur_cosine,resize_cosine
LFW,lfw_12849,Michael Schumacher,0,FaceGuard,0.047058823529411764,35,0.125,-0.8676697015762329,-0.7274491786956787,-0.7561080455780029,-0.8565306663513184
LFW,lfw_07619,Dennis Kucinich,0,FaceGuard,0.047058823529411764,35,0.125,-0.8817095756530762,-0.8410479426383972,-0.8034138679504395,-0.8767189979553223
LFW,lfw_10531,Constance Marie,0,FaceGuard,0.047058823529411764,35,0.125,-0.9327871799468994,-0.9094956517219543,-0.8949809670448303,-0.9224874973297119
LFW,lfw_09001,John Travolta,0,FaceGuard,0.047058823529411764,35,0.125,-0.9504038095474243,-0.9458409547805786,-0.9452910423278809,-0.9494494199752808
LFW,lfw_04038,John Negroponte,0,FaceGuard,0.047058823529411764,35,0.125,-0.8348199129104614,-0.7682162523269653,-0.7323354482650757,-0.822312593460083
LFW,lfw_05975,Goran Persson,0,FaceGuard,0.047058823529411764,35,0.125,-0.8837188482284546,-0.8040457367897034,-0.7799368500709534,-0.8626432418823242
LFW,lfw_12481,Frank Marshall,0,FaceGuard,0.047058823529411764,35,0.125,-0.8694194555282593,-0.8095544576644897,-0.816616952419281,-0.8631206750869751
LFW,lfw_09212,Wang Yingfan,0,FaceGuard,0.047058823529411764,35,0.125,-0.9123064279556274,-0.902315616607666,-0.8740058541297913,-0.9026480913162231
LFW,lfw_02429,Tippi Hedren,0,FaceGuard,0.047058823529411764,35,0.125,-0.8859847187995911,-0.7994327545166016,-0.7572392225265503,-0.8724138140678406
LFW,lfw_12953,Juan Carlos Ferrero,0,FaceGuard,0.047058823529411764,35,0.125,-0.9402223825454712,-0.9274551868438721,-0.9077698588371277,-0.9404849410057068
LFW,lfw_04682,Will Young,0,FaceGuard,0.047058823529411764,35,0.125,-0.9113520383834839,-0.8669646382331848,-0.7838619947433472,-0.8850948810577393
LFW,lfw_00122,Mariangel Ruiz Torrealba,0,FaceGuard,0.047058823529411764,35,0.125,-0.8596334457397461,-0.7270368933677673,-0.6767735481262207,-0.8313584923744202
LFW,lfw_01758,Halle Berry,0,FaceGuard,0.047058823529411764,35,0.125,-0.9349560141563416,-0.9005933403968811,-0.893252968788147,-0.9244319200515747
